"","V1","V2"
"4779",1372578960,61
"4785",1372582560,61
"4777",1372586160,60.1
"4775",1372589760,60.1
"4773",1372593360,60.1
"4771",1372596960,59
"4769",1372600560,60.1
"4767",1372604160,63
"4765",1372607760,66
"4763",1372611360,68
"4783",1372614960,68
"4781",1372618560,69.1
"4778",1372622160,70
"4784",1372625760,69.1
"4776",1372629360,69.1
"4774",1372632960,70
"4772",1372636560,68
"4770",1372640160,68
"4768",1372643760,66
"4766",1372647360,63
"4764",1372650960,62.1
"4762",1372654560,61
"4782",1372658160,60.1
"4780",1372661760,57.9
"4755",1372665360,57
"4761",1372668960,55.9
"4753",1372672560,55.9
"4751",1372676160,57
"4749",1372679760,57.9
"4747",1372680060,57.2
"4745",1372683360,57
"4743",1372686960,57.9
"4741",1372690560,61
"4739",1372694160,64.9
"4737",1372697760,66.9
"4759",1372701360,69.1
"4757",1372704960,75.9
"4754",1372708560,75.9
"4760",1372712160,73.9
"4752",1372715760,75.9
"4750",1372719360,70
"4748",1372722960,68
"4746",1372725480,64.4
"4744",1372726560,64
"4742",1372730160,62.1
"4740",1372733760,61
"4738",1372737360,60.1
"4736",1372740960,59
"4758",1372744560,60.1
"4756",1372748160,61
"4729",1372751760,60.1
"4735",1372755360,59
"4727",1372758960,59
"4725",1372762560,57.9
"4722",1372766160,57.9
"4720",1372769760,59
"4717",1372776960,61
"4715",1372780560,62.1
"4713",1372784160,64.9
"4733",1372787760,69.1
"4731",1372791360,72
"4728",1372794960,73
"4734",1372798560,75.9
"4726",1372802160,81
"4724",1372805760,75.9
"4723",1372807440,71.6
"4721",1372809360,69.1
"4719",1372812960,66
"4718",1372816560,63
"4716",1372820160,61
"4714",1372823760,60.1
"4712",1372827360,59
"4732",1372830960,59
"4730",1372834560,59
"4705",1372838160,59
"4711",1372841760,59
"4703",1372845360,59
"4701",1372848960,57.9
"4699",1372852560,57.9
"4697",1372855260,59
"4696",1372856160,59
"4694",1372859760,61
"4692",1372862760,62.6
"4691",1372863360,63
"4689",1372866960,64
"4687",1372870560,64.9
"4709",1372874160,69.1
"4707",1372877760,73
"4704",1372881360,73
"4710",1372884960,78.1
"4702",1372888560,79
"4700",1372892160,72
"4698",1372895760,68
"4695",1372899360,66
"4693",1372902960,66.9
"4690",1372906560,71.1
"4688",1372910160,62.1
"4686",1372913760,61
"4708",1372917360,62.1
"4706",1372920960,61
"4679",1372924560,61
"4685",1372928160,62.1
"4677",1372931760,64
"4675",1372935360,63
"4673",1372938960,63
"4671",1372942560,62.1
"4669",1372946160,62.1
"4667",1372949760,63
"4665",1372953360,66
"4663",1372956960,71.1
"4683",1372960560,72
"4681",1372964160,73.9
"4678",1372967760,75.9
"4684",1372971360,75
"4676",1372974960,75
"4674",1372978560,73
"4672",1372982160,73
"4670",1372985760,71.1
"4668",1372989360,69.1
"4666",1372992960,66.9
"4664",1372996560,64.9
"4662",1373000160,64.9
"4682",1373003760,60.1
"4680",1373007360,60.1
"4652",1373010960,59
"4660",1373014560,57.9
"4650",1373018160,57
"4647",1373021760,55.9
"4645",1373025360,55.9
"4643",1373028960,55
"4641",1373032560,55
"4639",1373036160,55
"4637",1373039760,55.9
"4635",1373043360,57
"4656",1373046960,57.9
"4654",1373050560,61
"4651",1373054160,61
"4661",1373055540,62.6
"4659",1373057760,63
"4649",1373061360,64
"4648",1373063760,64.4
"4646",1373064960,63
"4644",1373068560,63
"4642",1373072160,62.1
"4640",1373075760,60.1
"4638",1373079360,57.9
"4636",1373082960,57
"4634",1373086560,57
"4658",1373087760,57.2
"4657",1373088720,57.2
"4655",1373090160,57
"4653",1373093760,57
"4627",1373097360,55.9
"4633",1373100960,55.9
"4625",1373104560,55.9
"4623",1373108160,55.9
"4621",1373111760,55.9
"4619",1373115360,55
"4617",1373118960,55.9
"4614",1373122560,57.9
"4612",1373126160,61
"4610",1373129760,62.1
"4631",1373133360,64
"4629",1373136960,64.9
"4626",1373140560,66
"4632",1373144160,69.1
"4624",1373147760,71.1
"4622",1373151360,69.1
"4620",1373154960,68
"4618",1373158560,66
"4616",1373162160,64.9
"4615",1373163600,64.4
"4613",1373165760,63
"4611",1373169360,60.1
"4609",1373172960,59
"4630",1373176560,57.9
"4628",1373180160,57
"4602",1373183760,57
"4608",1373187360,57.9
"4600",1373190960,57
"4598",1373191740,57.2
"4597",1373194560,55.9
"4595",1373198160,57
"4593",1373201760,55.9
"4591",1373205360,57
"4588",1373208960,57.9
"4586",1373212560,60.1
"4584",1373216160,62.1
"4606",1373219760,64
"4604",1373223360,64.9
"4601",1373226960,66.9
"4607",1373230560,69.1
"4599",1373234160,70
"4596",1373237760,70
"4594",1373241360,69.1
"4592",1373244960,66.9
"4590",1373248560,64
"4589",1373250300,62.6
"4587",1373252160,61
"4585",1373255760,59
"4583",1373259360,57.9
"4605",1373262960,57
"4603",1373266560,57
"4576",1373270160,55.9
"4582",1373273760,55.9
"4574",1373277360,55.9
"4572",1373280960,55.9
"4570",1373284560,57
"4567",1373288160,57
"4565",1373291760,57
"4563",1373295360,57.9
"4561",1373298960,60.1
"4559",1373301360,62.6
"4558",1373302560,63
"4580",1373306160,64.9
"4578",1373309760,66.9
"4575",1373313360,68
"4581",1373316960,68
"4573",1373320560,68
"4571",1373324160,69.1
"4569",1373327760,69.1
"4568",1373329680,66.2
"4566",1373331360,66
"4564",1373334960,63
"4562",1373338560,60.1
"4560",1373342160,59
"4557",1373345760,57.9
"4579",1373349360,57
"4577",1373352960,55.9
"4549",1373356560,55.9
"4556",1373360160,55.9
"4547",1373363760,55
"4545",1373366160,55.4
"4544",1373367360,55.9
"4542",1373370960,55.9
"4540",1373374560,55
"4538",1373378160,55.9
"4536",1373381760,57.9
"4534",1373385360,60.1
"4532",1373388960,62.1
"4554",1373390940,62.6
"4553",1373392560,63
"4551",1373396160,68
"4548",1373399760,68
"4555",1373403360,69.1
"4546",1373406960,70
"4543",1373410560,68
"4541",1373414160,66
"4539",1373417760,64
"4537",1373421360,62.1
"4535",1373424960,57
"4533",1373428560,57
"4531",1373432160,57
"4552",1373435760,55
"4550",1373439360,54
"4524",1373442960,54
"4530",1373446560,54
"4522",1373450160,54
"4520",1373453760,54
"4518",1373457360,54
"4516",1373460960,54
"4514",1373464560,54
"4512",1373466840,55.4
"4511",1373468160,55.9
"4509",1373471760,57.9
"4507",1373475060,60.8
"4506",1373475360,61
"4528",1373478960,62.1
"4526",1373482560,64
"4523",1373486160,66
"4529",1373489760,66
"4521",1373493360,66
"4519",1373496960,66
"4517",1373500560,64.9
"4515",1373504160,66
"4513",1373507760,61
"4510",1373511360,59
"4508",1373514960,55.9
"4505",1373518560,55
"4527",1373522160,54
"4525",1373525760,54
"4498",1373529360,54
"4504",1373532960,54
"4496",1373533380,53.6
"4495",1373535180,53.6
"4493",1373536560,54
"4491",1373537340,53.6
"4490",1373540160,54
"4488",1373543760,54
"4486",1373547360,53.1
"4484",1373550960,54
"4482",1373554560,55
"4480",1373558160,57
"4478",1373560380,59
"4477",1373561760,60.1
"4502",1373565360,63
"4500",1373568960,64.9
"4497",1373572560,66.9
"4503",1373576160,66.9
"4494",1373578500,64.4
"4492",1373579760,64
"4489",1373583360,64
"4487",1373586960,63
"4485",1373590560,61
"4483",1373594160,60.1
"4481",1373597760,57.9
"4479",1373601360,57
"4476",1373604960,55.9
"4501",1373608560,55.9
"4499",1373612160,55
"4469",1373615760,55.9
"4475",1373619360,55
"4467",1373622960,55
"4465",1373626560,55
"4463",1373630160,55
"4461",1373633760,55
"4459",1373637360,55
"4457",1373640960,57.9
"4455",1373644560,61
"4453",1373648160,63
"4473",1373651760,64.9
"4471",1373655360,64.9
"4468",1373658960,66.9
"4474",1373662560,66.9
"4466",1373666160,66
"4464",1373669760,64
"4462",1373673360,62.1
"4460",1373676960,61
"4458",1373680560,59
"4456",1373684160,57
"4454",1373687760,55.9
"4452",1373691360,55.9
"4472",1373694960,55
"4470",1373698560,55
"4445",1373702160,55
"4451",1373705760,55
"4443",1373709360,54
"4441",1373712960,54
"4439",1373716560,53.1
"4437",1373720160,52
"4435",1373722200,53.6
"4434",1373723760,53.1
"4432",1373727360,57
"4430",1373730960,60.1
"4428",1373734560,62.1
"4449",1373738160,64.9
"4447",1373741760,66.9
"4444",1373745360,72
"4450",1373748960,71.1
"4442",1373752560,69.1
"4440",1373756160,68
"4438",1373759760,64
"4436",1373763360,63
"4433",1373766960,59
"4431",1373770560,57
"4429",1373774160,55.9
"4427",1373777760,55.9
"4448",1373781360,55
"4446",1373784960,55
"4420",1373788560,55
"4426",1373792160,55
"4418",1373795760,54
"4416",1373799360,54
"4414",1373802960,54
"4412",1373806560,54
"4410",1373810160,55
"4408",1373812320,55.4
"4407",1373813760,55
"4405",1373814600,55.4
"4404",1373816040,57.2
"4403",1373817360,59
"4401",1373820960,60.1
"4424",1373824560,62.1
"4422",1373828160,64
"4419",1373831760,64.9
"4425",1373835360,64.9
"4417",1373838960,64.9
"4415",1373842560,64.9
"4413",1373846160,63
"4411",1373849760,61
"4409",1373853360,59
"4406",1373856960,57
"4402",1373860560,55
"4400",1373864160,54
"4423",1373867760,54
"4421",1373871360,54
"4390",1373874960,53.1
"4399",1373875380,53.6
"4398",1373876160,53.6
"4397",1373878560,54
"4388",1373882160,54
"4386",1373885760,54
"4384",1373889360,53.1
"4382",1373892960,54
"4380",1373896560,54
"4378",1373900160,54
"4375",1373903760,55.9
"4373",1373907360,57.9
"4395",1373909520,60.8
"4394",1373910960,62.1
"4392",1373914560,63
"4389",1373918160,66
"4396",1373921760,68
"4387",1373925360,68
"4385",1373928960,66.9
"4383",1373932560,64.9
"4381",1373936160,64
"4379",1373939760,61
"4377",1373943360,60.1
"4376",1373946660,59
"4374",1373946960,59
"4372",1373950560,57.9
"4393",1373954160,57.9
"4391",1373957760,57.9
"4365",1373961360,57.9
"4371",1373964960,57.9
"4362",1373968560,57.9
"4360",1373972160,57.9
"4358",1373975760,57.9
"4356",1373979360,57
"4354",1373982960,57
"4351",1373986560,57
"4349",1373990160,57.9
"4347",1373993760,59
"4369",1373997360,60.1
"4367",1374000960,63
"4364",1374004560,64
"4370",1374008160,66.9
"4363",1374010320,68
"4361",1374011760,68
"4359",1374015360,68
"4357",1374018960,66.9
"4355",1374022560,66
"4353",1374026160,63
"4352",1374028620,62.6
"4350",1374029760,61
"4348",1374033360,61
"4346",1374036960,61
"4368",1374040560,61
"4366",1374044160,60.1
"4337",1374047760,60.1
"4345",1374051360,60.1
"4335",1374054780,59
"4334",1374054960,59
"4332",1374058560,59
"4330",1374062160,59
"4328",1374065760,57.9
"4326",1374069360,57.9
